worldId	worldName	pX	pY	description	npcId
37	BiÖn Kinh	1740	3065	ThÝ LuyÖn §­êng	1
37	BiÖn Kinh	1646	3050	NhiÕp ThÝ TrÇn	1
37	BiÖn Kinh	1589	3096	Hµng Rong	1
37	BiÖn Kinh	1784	3042	Néi C¸c Th­îng Th­	1
37	BiÖn Kinh	1641	3145	B×nh B×nh C« N­¬ng	1
37	BiÖn Kinh	16620	3019	B×nh B×nh C« N­¬ng	1
37	BiÖn Kinh	1713	374	B×nh B×nh C« N­¬ng	1
37	BiÖn Kinh	1865	2968	B×nh B×nh C« N­¬ng	1
37	BiÖn Kinh	1734	3102	D· TÈu	1
37	BiÖn Kinh	1693	3212	Xa Phu C«ng Thµnh	1
78	T­¬ng D­¬ng	1509	3140	NPC Xa Phu	1
78	T­¬ng D­¬ng	1439	3212	NPC Xa Phu	1
78	T­¬ng D­¬ng	1598	3378	NPC Xa Phu	1
78	T­¬ng D­¬ng	1693	3233	NPC Xa Phu	1
78	T­¬ng D­¬ng	1609	3259	Vâ L©m TruyÒn nh©n	1
78	T­¬ng D­¬ng	1541	3247	LÔ Quan	1
78	T­¬ng D­¬ng	1550	3217	Thî rÌn	1
78	T­¬ng D­¬ng	1612	3244	D­îc §iÕm	203
78	T­¬ng D­¬ng	1628	3262	TiÖm T¹p Hãa	384
78	T­¬ng D­¬ng	1546	3118	Sø Gi¶ KiÖt XuÊt	1
78	T­¬ng D­¬ng	1606	3238	ThÝ LuyÖn §­êng	1
78	T­¬ng D­¬ng	1511	3208	NhiÕp ThÝ TrÇn	1
78	T­¬ng D­¬ng	1489	3270	Hµng Rong	1
78	T­¬ng D­¬ng	1594	3289	D· TÈu	1
78	T­¬ng D­¬ng	1582	3379	Xa Phu C«ng Thµnh	1
78	T­¬ng D­¬ng	1554	3183	ThÇn BÝ th­¬ng nh©n	1
121	Long M«n TrÊn	1959	4500	D· TÈu	1
121	Long M«n TrÊn	1958	4517	LÔ Quan	1
121	Long M«n TrÊn	1934	4551	HiÖu Thuèc	203
121	Long M«n TrÊn	1914	4524	T¹p Hãa	384
121	Long M«n TrÊn	1924	4527	Xa Phu	1
121	Long M«n TrÊn	1980	4593	Xa Phu	1
123	L·o Hæ §éng	1643	3235	D· TÈu	1
123	L·o Hæ §éng	1606	3227	LÔ Quan	1
123	L·o Hæ §éng	1600	3209	HiÖu Thuèc	203
123	L·o Hæ §éng	1630	3231	T¹p Hãa	384
123	L·o Hæ §éng	1658	3244	Xa Phu	1
80	D­¬ng Ch©u	1717	3198	NPC Xa Phu	1
80	D­¬ng Ch©u	1592	3195	NPC Xa Phu	1
80	D­¬ng Ch©u	1670	2991	NPC Xa Phu	1
80	D­¬ng Ch©u	1825	3064	NPC Xa Phu	1
80	D­¬ng Ch©u	1792	3047	Vâ L©m TruyÒn nh©n	1
80	D­¬ng Ch©u	1745	3000	LÔ Quan	1
80	D­¬ng Ch©u	1689	3170	Thî rÌn	1
80	D­¬ng Ch©u	1773	3079	D­îc §iÕm	203
80	D­¬ng Ch©u	1701	3022	TiÖm T¹p Hãa	384
80	D­¬ng Ch©u	1754	3035	Sø Gi¶ Liªn ®Êu	1
80	D­¬ng Ch©u	1705	3058	ThÝ LuyÖn §­êng	1
80	D­¬ng Ch©u	1702	2962	NhiÕp ThÝ TrÇn	1
80	D­¬ng Ch©u	1638	3049	Hµng Rong	1
80	D­¬ng Ch©u	1743	2966	D· TÈu	1
80	D­¬ng Ch©u	1691	3219	Xa Phu C«ng Thµnh	1
53	Ba L¨ng HuyÖn	1626	3172	D· TÈu	1
53	Ba L¨ng HuyÖn	1629	3195	LÔ Quan	1
53	Ba L¨ng HuyÖn	1598	3209	HiÖu Thuèc	203
53	Ba L¨ng HuyÖn	1600	3170	T¹p Hãa	384
53	Ba L¨ng HuyÖn	1578	3236	Xa Phu	1
174	Long TuyÒn Th«n	1608	3200	D· TÈu	1
174	Long TuyÒn Th«n	1631	3215	LÔ Quan	1
174	Long TuyÒn Th«n	1572	3253	HiÖu Thuèc	203
174	Long TuyÒn Th«n	1566	3202	T¹p Hãa	384
174	Long TuyÒn Th«n	1634	3196	Xa Phu	1
20	Giang T©n Th«n	3538	6231	D· TÈu	1
20	Giang T©n Th«n	3552	6192	LÔ Quan	1
20	Giang T©n Th«n	3469	6164	HiÖu Thuèc	203
20	Giang T©n Th«n	3370	6256	T¹p Hãa	384
20	Giang T©n Th«n	3458	6110	Xa Phu	1
20	Giang T©n Th«n	3522	6117	NguyÖt L·o	1
1	Noname	1657	3156	R­¬ng chøa ®å	203
1	Noname	1543	3218	R­¬ng chøa ®å	203
1	Noname	1591	3171	R­¬ng chøa ®å	203
1	Noname	1632	3259	R­¬ng chøa ®å	203
1	Noname	1571	3118	R­¬ng chøa ®å	203
100	Noname	1701	3194	R­¬ng chøa ®å	203
100	Noname	1634	3197	R­¬ng chøa ®å	203
101	Noname	1683	3133	R­¬ng chøa ®å	203
11	Noname	3240	5025	R­¬ng chøa ®å	203
11	Noname	3155	5076	R­¬ng chøa ®å	203
11	Noname	3184	5179	R­¬ng chøa ®å	203
11	Noname	3053	4982	R­¬ng chøa ®å	203
11	Noname	3000	5105	R­¬ng chøa ®å	203
121	Noname	1933	4511	R­¬ng chøa ®å	203
121	Noname	1999	4471	R­¬ng chøa ®å	203
153	Noname	1663	3226	R­¬ng chøa ®å	203
162	Noname	1626	3152	R­¬ng chøa ®å	203
162	Noname	1577	3133	R­¬ng chøa ®åÙ	203
174	Noname	1617	3191	R­¬ng chøa ®å	203
176	Noname	1689	3278	R­¬ng chøa ®å	203
176	Noname	1573	2933	R­¬ng chøa ®å	203
176	Noname	1392	3314	R­¬ng chøa ®å	203
20	Noname	3455	6172	R­¬ng chøa ®å	203
20	Noname	3388	6273	R­¬ng chøa ®å	203
37	Noname	1853	2955	R­¬ng chøa ®å	203
37	Noname	1722	3081	R­¬ng chøa ®å	203
37	Noname	1694	3206	R­¬ng chøa ®å	203
37	Noname	1610	3012	R­¬ng chøa ®å	203
53	Noname	1611	3168	R­¬ng chøa ®å	203
586	Noname	1683	3270	R­¬ng chøa ®å	203
587	Noname	1683	3270	R­¬ng chøa ®å	203
589	Noname	1683	3270	R­¬ng chøa ®å	203
590	Noname	1683	3270	R­¬ng chøa ®å	203
591	Noname	1684	3270	R­¬ng chøa ®å	203
593	Noname	1683	3270	R­¬ng chøa ®å	203
594	Noname	1683	3270	R­¬ng chøa ®å	203
595	Noname	1683	3270	R­¬ng chøa ®å	203
597	Noname	1683	3270	R­¬ng chøa ®å	203
78	Noname	1687	3235	R­¬ng chøa ®å	203
78	Noname	1576	3341	R­¬ng chøa ®å	203
78	Noname	1563	3220	R­¬ng chøa ®å	203
78	Noname	1450	3265	R­¬ng chøa ®å	203
78	Noname	1482	3164	R­¬ng chøa ®å	203
80	Noname	1661	2983	R­¬ng chøa ®å	203
80	Noname	1756	3006	R­¬ng chøa ®å	203
80	Noname	1856	3031	R­¬ng chøa ®å	203
80	Noname	1712	3225	R­¬ng chøa ®å	203
80	Noname	1625	3176	R­¬ng chøa ®å	203
99	Noname	1637	3187	R­¬ng chøa ®å	203
99	Noname	1651	3252	R­¬ng chøa ®å	203
